Material,Plnt,SLoc,SL,BUn,Unrestricted,Crcy,Value Unrestricted,Transit/Transf.,Val. in Trans./Tfr,In Quality Insp.,Value in QualInsp.,Restricted-Use,Value Restricted,Blocked,Value BlockedStock,Returns,Value Rets Blocked
2042010183,AMLP,LP01,,PC,2.000,USD,44.82,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042010433,AMLP,LP01,,PC,9.000,USD,"1,503.81",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042010433,AMND,ND01,,PC,1.000,USD,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042010433,AMND,ND02,,PC,1.000,USD,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042010433,ARPE,PE02,,PC,3.000,USD,414.79,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042010473,AMND,ND01,,PC,3.000,USD,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042010473,ARPE,PE02,,PC,4.000,USD,552.86,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042010473,PORS,PS06,,PC,3.000,USD,488.70,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042010733,AMND,ND01,,PC,3.000,USD,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042010733,ARPE,PE02,,PC,4.000,USD,109.62,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042010753,AMLP,LP01,,PC,34.000,USD,338.37,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042010753,PORS,PS06,,PC,15.000,USD,172.35,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042010823,ARPE,PE02,,PC,1.000,USD,7.92,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042010873,BALT,BA01,,PC,8.000,USD,"2,400.85",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042010873,PORS,PS06,,PC,26.000,USD,219.96,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042010963,ARPE,PE02,,PC,4.000,USD,5.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042010963,PORS,PS06,,PC,2.000,USD,18.14,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042011033,PORS,PS06,,PC,2.000,USD,12.04,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042011163,PTSH,SH06,,PC,72.000,USD,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042011173,PTSH,SH06,,PC,140.000,USD,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042011183,PTSH,SH06,,PC,20.000,USD,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042011213,ARPE,PE02,,PC,2.000,USD,"5,659.70",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042011733,ARPE,PE02,,PC,2.000,USD,848.47,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042011743,ARPE,PE02,,PC,2.000,USD,"1,495.88",0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042011793,ARPE,PE02,,PC,1.000,USD,13.85,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
2042011823,AMLP,LP01,,PC,27.000,USD,319.41,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
