part_number,ptb_code,description,stock_qty,plant
,2042001043,SENSOR FLAME ULTRAVIOLET,0,ARPE
2L1A1812P10,2042001043,SENSOR FLAME ULTRAVIOLET,0,ARPE
255A4880P060,2042002433,GASKET,0,ARPE
302A4594P060,2042002433,GASKET,0,ARPE
KFZ270920104,2042002433,GASKET,0,ARPE
211A9110P001,2042010183,COUPLING PIPE,2,AMLP
211A9110P001,2042010183,COUPLING PIPE,2,PFTE
HQM070120003,2042010193,"SCREW 5/16""-18UNCX1/2""ITN32501",0,PFTE
RTO63828,2042010433,THERMOCOUPLE,9,AMLP
RTO72680,2042010433,THERMOCOUPLE,9,AMLP
RTO96362,2042010433,THERMOCOUPLE,9,AMLP
RTO63828,2042010433,THERMOCOUPLE,1,AMND
RTO72680,2042010433,THERMOCOUPLE,1,AMND
RTO96362,2042010433,THERMOCOUPLE,1,AMND
RTO63828,2042010433,THERMOCOUPLE,1,AMND
RTO72680,2042010433,THERMOCOUPLE,1,AMND
RTO96362,2042010433,THERMOCOUPLE,1,AMND
RTO63828,2042010433,THERMOCOUPLE,1,AMPE
RTO72680,2042010433,THERMOCOUPLE,1,AMPE
RTO96362,2042010433,THERMOCOUPLE,1,AMPE
RTO63828,2042010433,THERMOCOUPLE,0,ARPE
RTO63828,2042010433,THERMOCOUPLE,3,ARPE
RTO72680,2042010433,THERMOCOUPLE,0,ARPE
RTO72680,2042010433,THERMOCOUPLE,3,ARPE
RTO96362,2042010433,THERMOCOUPLE,0,ARPE
RTO96362,2042010433,THERMOCOUPLE,3,ARPE
RTO63831,2042010473,THERMOCOUPLE,0,AMND
RTO63831,2042010473,THERMOCOUPLE,3,AMND
RTO63831,2042010473,THERMOCOUPLE,0,ARPE
RTO63831,2042010473,THERMOCOUPLE,4,ARPE
RTO63831,2042010473,THERMOCOUPLE,4,PFTE
RTO63831,2042010473,THERMOCOUPLE,3,PORS
RPQ03232,2042010733,PIN,0,AMLP
RPQ03232,2042010733,PIN,3,AMND
RPQ03232,2042010733,PIN,2,ARPE
RPQ03232,2042010733,PIN,2,ARPE
GTG15057,2042010753,SCREW,34,AMLP
GTG15057,2042010753,SCREW,34,AMND
GTG15057,2042010753,SCREW,34,BALT
GTG15057,2042010753,SCREW,34,PFTE
GTG15057,2042010753,SCREW,15,PORS
ISM155710209,2042010823,GASKET,0,AMLP
KFZ223040054,2042010823,GASKET,0,AMLP
ISM155710209,2042010823,GASKET,0,AMND
KFZ223040054,2042010823,GASKET,0,AMND
ISM155710209,2042010823,GASKET,1,ARPE
KFZ223040054,2042010823,GASKET,1,ARPE
ISM155710209,2042010823,GASKET,1,BALT
KFZ223040054,2042010823,GASKET,1,BALT
N24P33040,2042010833,BOLT HEX.HEAD SS,0,ARPE
GTG12069,2042010853,SCREW,0,ARPE
